Fecha - date;"TempAir_Avg
ºC";HumAir_Avg %;Termocuple_Avg(24) ºC;TempAir_max ºC;HumAir_max ºC;Termocuple_max(24) ºC;,TempAir_min ºC;HumAir_min ºC;Termocuple_min(24)
11/5/2022;18,13176471;85,29867647;27,13647059;22,43;92,1;27,91;15,9;68,9;25,88
12/5/2022;19,73266234;70,69688312;24,76798701;23,85;93;26,87;14,45;51,35;19,86
13/5/2022;19,92376543;73,83851852;24,94851852;24,16;92,3;27,43;14,86;55,23;17,8
14/5/2022;18,58157895;82,73894737;24,53835526;22,63;93,1;26,4;14,58;65,61;19,45
15/5/2022;20,48481481;75,32;25,93401235;24,82;92,8;28,84;14,69;51,53;18,65
16/5/2022;18,47178808;82,04390728;25,00099338;22,55;93,3;27,15;14,63;63,86;19,19
17/5/2022;17,2084106;88,47615894;23,55933775;20,61;93,5;24,66;14,9;72,51;19,45
18/5/2022;17,59458333;87,34076389;23,31368056;20,47;93,7;25,19;14,72;75,69;17,91
19/5/2022;17,71913043;84,30397516;23,23130435;22,03;94,5;25,24;13,45;62,52;16,96
20/5/2022;18,44076433;82,13923567;24,71235669;21,46;94;27,65;14,13;66,77;18,01
21/5/2022;19,25944785;75,60730061;25,21607362;24,74;93,3;27,69;12,92;49,02;17,84
22/5/2022;19,9791358;72,38012346;25,08660494;25,14;93,1;27,93;13,26;47,11;16,86
23/5/2022;18,612375;79,1421875;24,5065625;23,03;93,5;27,35;13,86;58,91;18,58
24/5/2022;20,27339394;69,24624242;25,21175758;25,46;92,2;28,44;14,22;40,91;17,82
25/5/2022;20,20611111;64,84685185;25,06506173;24,45;92,1;26,83;15,18;42,08;18,86
26/5/2022;19,40670732;73,81243902;25,04615854;24,05;92,5;27,49;15,32;51,32;18,29
27/5/2022;20,17036145;55,91777108;24,4123494;23,12;92,5;26,87;13,93;40,24;17,52
28/5/2022;18,26118012;68,07006211;23,26906832;23,58;90,9;25,65;11,97;42,12;16,21
29/5/2022;20,57042683;59,5570122;24,47384146;25,23;92,4;28,2;13,86;35,92;15,62
30/5/2022;18,06309677;75,75774194;22,67167742;21,14;92,3;24,79;13,79;58,09;16,97
31/5/2022;18,28820988;77,87697531;23,86654321;23;92,7;26,22;12,24;57,54;17,14
1/6/2022;17,54808642;82,6091358;24,09407407;21,07;94,2;26,25;12,93;67,34;17,82
2/6/2022;17,2038961;82,60532468;23,5111039;20,57;93;25,44;13,56;67,08;17,35
3/6/2022;16,39769737;86,77638158;22,67546053;19,58;94,2;25,05;12,97;75,63;17,5
4/6/2022;18,3791875;78,439875;23,65675;23,81;93,6;26,37;12,73;53,05;16,78
5/6/2022;18,55532895;81,37546053;24,27519737;22,79;92,8;26,96;13,13;62,21;17,76
6/6/2022;18,20434211;80,41717105;24,36677632;24,06;93,5;26,26;13,58;56,29;18,32
7/6/2022;16,14658065;83,97270968;21,97470968;20,24;93,3;23,8;11,97;67,94;16,13
8/6/2022;17,45307692;83,58858974;23,41102564;20,52;93,6;25,93;13,4;69,73;16,59
9/6/2022;17,4487037;83,49691358;24,18932099;20,32;94,4;27,24;12,58;72,49;17,01
10/6/2022;17,99232394;81,00084507;23,51612676;22,17;93,4;26,15;13,57;59,52;17,98
11/6/2022;16,44809211;84,54782895;21,91875;19,52;93,8;23,61;13,51;68,36;17,95
12/6/2022;19,8709434;67,00459119;24,07918239;23,91;92,7;27,05;13,34;45,93;15,89
13/6/2022;18,32877301;76,73570552;24,35871166;22,37;93,7;26,66;13,8;58,44;17,71
14/6/2022;18,41477987;76,14006289;24,10333333;22,7;93,1;26,68;13,75;50,44;17,25
15/6/2022;19,09048485;72,35515152;24,682;23,01;93;27,58;11,16;52,18;16,52
16/6/2022;19,04403727;72,32217391;24,59583851;23,48;92,9;28,03;13,11;52,51;16,44
17/6/2022;17,90931034;78,11875862;24,21655172;21,58;93,1;26,53;12,85;59,73;17,93
18/6/2022;15,24496644;88,49255034;22,01624161;18,2;94,4;23,52;12,66;77,63;17,38
19/6/2022;18,55119205;74,55331126;23,12927152;22,48;93,1;25,65;13,64;54,72;16,89
20/6/2022;17,61073333;78,38533333;23,1246;22,95;93,6;25,78;13,29;49,79;18,35
21/6/2022;19,70583851;66,35484472;23,88515528;25,53;93;27,2;12,61;40,17;14,74
22/6/2022;19,78396226;68,04672956;25,02924528;25,03;93,1;28,14;13,79;37,64;18,11
23/6/2022;19,95695652;67,83863354;26,39335404;25,18;92,9;29,12;14,01;44,73;18,28
24/6/2022;16,69215686;85,6627451;24,00803922;19,33;93,4;26,25;13,73;74,22;18,71
25/6/2022;17,932;71,80729032;22,37354839;21,38;92,3;24,74;12,27;57,64;16,36
26/6/2022;17,60949367;61,98670886;21,76272152;20,4;83,6;23,44;13,74;51,53;16,18
27/6/2022;18,791;67,3681875;24,117625;23,72;92,2;27,24;10,91;43,13;14,35
28/6/2022;18,18357616;77,62940397;25,14384106;21,34;93;27,75;13,36;61,12;18,52
29/6/2022;18,92923077;75,10025641;25,34051282;23,47;93,4;27,99;11,66;52,28;17,01
30/6/2022;18,87196203;72,76848101;24,92088608;23,44;92,5;27,85;11,63;47,5;16,67
1/7/2022;20,354;65,89387097;25,50980645;25,92;93;28,62;13,45;39,36;17,48
2/7/2022;19,97299363;68,95968153;25,54490446;23,89;92,8;28,31;13,96;48,34;18,98
3/7/2022;20,32772727;64,24045455;25,91831169;24,36;91;28,41;14,23;48,31;18,02
4/7/2022;18,89625806;65,64090323;24,73012903;22,2;93,2;26,93;13,1;51,15;17,86
5/7/2022;19,13443709;62,89576159;23,73834437;22,88;91,9;25,95;14,11;49,76;16,43
6/7/2022;20,24562092;60,40333333;25,4175817;24,37;88,6;28,78;13,88;44,66;17,04
7/7/2022;20,73987578;46,8526087;24,73795031;23,96;70,8;28,31;13,95;36,41;15,56
8/7/2022;20,59117284;54,94993827;24,41061728;25,66;77,01;28,42;13,9;37;16,38
9/7/2022;20,58101449;57,44434783;25,20789855;25,21;86,9;27,38;15,19;40,43;19,25
10/7/2022;19,25188312;67,60402597;24,72519481;23,95;92,2;27,52;13,81;50,22;17,76
11/7/2022;19,62519481;70,21376623;25,88707792;25,33;92;28,12;14,08;43,44;17,5
12/7/2022;19,64393548;71,92877419;26,01129032;25,27;94;28,75;13,95;46,3;18,98
13/7/2022;17,37201342;80,85201342;23,66966443;21,89;93;25,9;12,71;57,41;17,78
14/7/2022;19,02703448;71,318;24,85186207;25,34;92,4;27,37;13,88;42,42;17,82
15/7/2022;19,24413793;74,84062069;25,13055172;23,63;92,8;27,82;13,29;54,95;17,64
16/7/2022;18,07317568;77,04209459;22,88668919;22,47;93;25,88;12,51;58,75;17,49
17/7/2022;17,19937931;74,09110345;21,86924138;20,35;91,2;23,28;12,62;57,5;17,64
18/7/2022;20,54375;52,82092105;24,44532895;23,78;75,49;27,5;15,12;43,1;16,52
19/7/2022;21,12496855;51,17358491;24,86125786;24,64;89,2;28,47;12,3;38,66;15,71
20/7/2022;19,75722581;59,18006452;24,37283871;23,88;88;27,43;13,77;42,21;17,34
21/7/2022;19,49719745;60,09210191;24,79070064;24,26;92,2;27,91;12,61;40,95;15,71
22/7/2022;18,25080537;72,33959732;24,51033557;22,68;92,5;26,42;13,98;50,21;18,13
23/7/2022;17,96896552;78,68896552;24,63124138;22,85;92,8;26,81;13,23;52,85;17,75
24/7/2022;17,46836879;81,63113475;23,54070922;22,14;94,2;26,33;13,41;58,73;18,22
25/7/2022;18,17911111;80,99192593;24,36385185;22,6;93,1;26,98;13,83;60,63;17,85
26/7/2022;17,91435897;82,55320513;24,52288462;21,7;94,2;27,01;13,76;69,63;17,25
27/7/2022;17,2985906;84,14389262;23,79275168;22,43;93,6;25,84;13,37;62,49;18,01
28/7/2022;19,85013333;70,49173333;25,055;24,46;93,3;28,67;13,37;46,22;16,99
29/7/2022;21,66836478;53,36301887;25,71194969;25,86;92,3;29,19;11,5;37,22;17,12
30/7/2022;21,39509434;58,92320755;26,67150943;26,28;92,3;29,68;14,33;37,39;17,91
31/7/2022;20,08948387;68,41716129;25,62974194;25,55;92,3;28,8;13,14;44,43;17,16
1/8/2022;19,32070064;74,8488535;25,68802548;22,79;92,4;28,35;14,93;56,34;18,18
2/8/2022;19,20019868;74,92178808;25,20516556;25,3;92,7;27,81;14,53;43,91;18,92
3/8/2022;19,65913333;70,60993333;25,27106667;23,08;92,3;28,07;14,44;52,24;17,28
4/8/2022;18,68238411;77,43821192;24,67463576;21,29;92,2;27,08;14,29;62,15;17,91
5/8/2022;17,24358108;83,42331081;23,63567568;20,74;93;25,74;14,22;65,98;18,07
6/8/2022;18,84512821;70,88769231;23,91878205;23,13;92,7;26,48;13,26;50,87;16,75
7/8/2022;21,11597403;49,70701299;24,62883117;25,27;83,2;27,9;13,75;37,44;15,91
8/8/2022;20,40115385;58,58153846;24,36884615;25,36;91,4;26,87;15,18;36,13;16,57
9/8/2022;20,27187097;53,058;24,18812903;23,84;72,32;27,05;15,41;40,45;17,04
10/8/2022;19,15726115;63,07242038;24,06828025;22,63;91,1;26,69;13,47;48,37;17,15
11/8/2022;20,15598684;55,03335526;24,87677632;24,67;91,6;28,31;13,93;32,59;16,74
12/8/2022;20,66398734;52,81981013;25,19177215;25,19;91,6;28,27;12,13;29,41;17,23
13/8/2022;19,34892405;58,17044304;23,93525316;23,85;92,1;27,29;10,01;29,4;14,5
14/8/2022;20,06134228;64,6409396;25,68671141;25,23;92,5;28,83;14,11;38,35;17,75
15/8/2022;19,95592357;63,38898089;24,50063694;24,89;92,2;27,06;14,62;36,98;18,43
16/8/2022;20,92734177;61,52613924;25,90879747;26,13;92;29,03;13,23;35,49;17,49
17/8/2022;20,8756129;61,16103226;25,53754839;27,49;92;29,04;12,31;29,26;15,99
18/8/2022;20,39582278;64,20139241;25,36158228;25,96;91,9;28,41;13,18;34,75;16,02
19/8/2022;20,98072368;53,57894737;25,56980263;24,31;92,7;28,22;14,38;35,75;18,42
20/8/2022;18,82359477;66,46313725;24,28444444;22,37;92,1;26,73;14,64;48,33;18,26
21/8/2022;19,96527397;54,73986301;23,85753425;22,96;92,1;25,87;13,53;44,93;17,09
22/8/2022;20,00525641;47,12;23,10416667;24,24;79,84;26,12;12,03;33,66;15,59
23/8/2022;20,81063291;40,63462025;23,84689873;24,72;75,4;27,49;9,77;28,93;13,82
24/8/2022;20,19346667;46,2314;24,67346667;24,06;76,13;27,46;12,23;33,58;17,55
25/8/2022;19,94993548;47,8736129;24,49735484;23,23;85,5;26,93;13,4;37,18;16,59
26/8/2022;20,81489933;56,99328859;25,52442953;26,38;91,6;28,85;14,67;32,52;17,92
27/8/2022;20,92363636;57,74824675;25,81090909;27,32;91,7;29,18;11,07;27,64;16,89
28/8/2022;18,80284768;67,28364238;24,36821192;22,39;92;26,29;12,73;47,03;18,69
29/8/2022;20,44025974;53,6261039;24,35285714;25,46;79,93;27,22;14,98;37,79;16,94
30/8/2022;19,53980132;56,75423841;23,42205298;23,75;83;25,95;13,16;43,45;16,33
31/8/2022;19,17589744;62,32038462;23,5449359;22,9;91,6;26,14;12,13;42,97;15,65
1/9/2022;20,38722581;61,93851613;25,52458065;26,46;91,4;28,83;10,51;34,99;16,42
2/9/2022;20,89206452;64,02522581;26,282;28,69;92,8;29,34;12,28;31,26;17,69
3/9/2022;21,11172185;53,80099338;25,32423841;25,43;84,2;27,68;14,6;42,24;18,93
4/9/2022;20,09026316;46,22776316;24,89796053;23,42;57,94;27,35;16,43;37,7;18,71
5/9/2022;19,09503497;53,94776224;23,55853147;21,97;68,81;25,49;15,88;43,3;18,24
6/9/2022;18,52636986;49,25465753;22,84917808;21,15;71,39;25;12,9;40,08;16,08
7/9/2022;20,29888889;52,47640523;23,71535948;23,48;75,91;26,58;13,46;41,73;16,41
8/9/2022;21,29185897;55,21019231;25,49089744;26,62;91,4;29,21;11,3;30,97;15,39
