area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000203;022;01;1;3;3;1;1;4;1;4;1;1;1;3;3;3;3;3;3;2;2;2;2;3;2;2;2713;87,6074730486587;010150000203;01015000020302201;010150000203022011;202109
1;10150;000203;022;02;1;3;2;2;2;4;1;4;1;1;1;1;3;3;3;3;3;2;2;2;3;2;3;3;2713;87,6074730486587;010150000203;01015000020302202;010150000203022021;202109
1;10150;000203;022;03;1;2;1;2;2;4;1;4;1;1;1;3;3;3;3;3;3;2;2;2;2;1;2;2;2713;87,6074730486587;010150000203;01015000020302203;010150000203022031;202109
1;10150;000203;022;04;1;3;3;2;2;4;1;4;2;2;2;3;3;3;3;3;3;2;2;2;3;3;2;2;2713;87,6074730486587;010150000203;01015000020302204;010150000203022041;202109
1;10150;000203;022;06;1;2;1;2;2;4;1;4;1;1;1;3;3;3;3;3;3;2;2;2;1;1;2;1;2713;87,6074730486587;010150000203;01015000020302206;010150000203022061;202109
1;10150;000203;022;08;1;3;2;2;2;4;2;4;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;87,6074730486587;010150000203;01015000020302208;010150000203022081;202109
1;10150;000203;022;10;1;2;2;2;2;4;2;4;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;87,6074730486587;010150000203;01015000020302210;010150000203022101;202109
1;10150;001201;022;01;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2712;243,936727148086;010150001201;01015000120102201;010150001201022011;202109
1;10150;001201;022;02;1;2;2;1;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;2;3;2;2712;243,936727148086;010150001201;01015000120102202;010150001201022021;202109
1;10150;001201;022;03;1;3;2;2;2;3;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2712;243,936727148086;010150001201;01015000120102203;010150001201022031;202109
1;10150;001201;022;05;1;2;2;2;2;3;2;3;2;2;2;3;2;3;3;2;3;2;2;2;2;2;2;2;2712;243,936727148086;010150001201;01015000120102205;010150001201022051;202109
1;10150;001201;022;07;1;2;2;2;2;3;2;3;2;2;2;2;2;3;3;3;3;2;2;2;3;2;3;2;2712;243,936727148086;010150001201;01015000120102207;010150001201022071;202109
1;10150;001201;022;08;1;3;1;1;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;2;3;2;2712;243,936727148086;010150001201;01015000120102208;010150001201022081;202109
1;10150;001201;022;10;1;2;2;2;2;3;2;3;2;3;2;3;2;3;3;3;3;2;2;2;3;2;3;2;2712;243,936727148086;010150001201;01015000120102210;010150001201022101;202109
1;10150;001902;024;01;1;3;2;2;2;3;2;3;2;3;1;3;3;3;3;3;3;2;2;2;3;2;3;2;2713;76,0418753675509;010150001902;01015000190202401;010150001902024011;202109
1;10150;001902;024;02;1;2;2;2;2;3;2;3;2;3;2;2;2;2;3;3;3;2;2;2;3;3;3;3;2713;76,0418753675509;010150001902;01015000190202402;010150001902024021;202109
1;10150;001902;024;03;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;2;3;2;2713;76,0418753675509;010150001902;01015000190202403;010150001902024031;202109
1;10150;001902;024;04;1;3;2;2;2;4;2;4;2;1;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;76,0418753675509;010150001902;01015000190202404;010150001902024041;202109
1;10150;001902;024;05;1;2;2;2;2;4;2;4;2;2;1;3;3;3;3;3;3;2;2;2;2;2;3;2;2713;76,0418753675509;010150001902;01015000190202405;010150001902024051;202109
1;10150;001902;024;06;1;3;2;1;2;3;2;3;2;2;1;3;3;3;3;3;3;2;2;2;3;2;3;2;2713;76,0418753675509;010150001902;01015000190202406;010150001902024061;202109
