Mes;Tipo Pago;Provincia;Rango Edad;Genero;Sector;Tipo Empleador;Nacionalidad;Valor Pagado;Número Beneficiarios
7;Fijo;AZUAY;20 - 25 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;231,23;1
7;Fijo;AZUAY;20 - 25 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;456  -  VENEZOLANA;280;1
7;Fijo;AZUAY;20 - 25 años;FEMENINO;PRIVADA;25-EMPLEADOR DOMESTICO;239  -  ECUATORIANA;140;1
7;Fijo;AZUAY;20 - 25 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;20 - 25 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;20 - 25 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;20 - 25 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;260,43;1
7;Fijo;AZUAY;20 - 25 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;25 - 30 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.751,40;7
7;Fijo;AZUAY;25 - 30 años;FEMENINO;PRIVADA;25-EMPLEADOR DOMESTICO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;25 - 30 años;FEMENINO;PRIVADA;26-COOP AHORRO  CRED. VIVIENDA ETC.CONTR SUPER  DE BANCOS 20.50%;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;25 - 30 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;25 - 30 años;FEMENINO;PUBLICA;16-ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;25 - 30 años;MASCULINO;PRIVADA;1- INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS22.50%;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;25 - 30 años;MASCULINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;1.680;6
7;Fijo;AZUAY;25 - 30 años;MASCULINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;25 - 30 años;MASCULINO;PRIVADA;6-CONSTRUCCION;239  -  ECUATORIANA;110,12;1
7;Fijo;AZUAY;25 - 30 años;MASCULINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;25 - 30 años;MASCULINO;PUBLICA;14-FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PRIVADA;1- INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS22.50%;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;239  -  ECUATORIANA;840;3
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PRIVADA;2-EMPRESA PRIVADA -SOCIEDADES / COMPANIAS;378  -  PERUANA;280;1
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PRIVADA;3-EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PRIVADA;7-AGRICOLA LABORES DE CAMPO;239  -  ECUATORIANA;280;1
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PRIVADA;8-ARTESANAL;239  -  ECUATORIANA;217;1
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PUBLICA;10-ORGANISMOS DEL REGIMEN SECCIONAL;239  -  ECUATORIANA;560;2
7;Fijo;AZUAY;30 - 35 años;FEMENINO;PUBLICA;12-ENTIDADES PUBLICAS CON AUTONOMIA;239  -  ECUATORIANA;560;2
